"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","year","id"
"127",2261161,7652724,24631438,4002548,14289846,52837717,14874328,22787306,6341732,11486444,22329018,77818828,2016,31
"128",11022385,2873269,8060225,3663632,20849784,46469295,11120534,1500998,6626100,2503713,23427666,45179011,2016,32
"129",21004781,13113454,17778997,3945253,39055012,94897497,15833947,8183830,6906583,12475138,11466541,54866039,2017,1
"130",17066663,3913937,21228435,8513978,43010782,93733795,4925768,16020328,3913692,11365174,22873492,59098454,2017,2
"131",27422800,5928217,28103286,4019531,25830636,91304470,11309437,18256298,8512929,6556132,15535401,60170197,2017,3
"132",27543600,4474359,10894949,11840649,34757110,89510667,12451986,17002208,8198492,6606862,24425407,68684955,2017,4
"133",29489118,3666976,20439056,6097469,28917997,88610616,11978095,14486303,6172044,15728455,21047533,69412430,2017,5
"134",21034437,2394382,31564129,3754657,28553585,87301190,14712089,26170012,2563395,11727962,9272758,64446216,2017,6
"135",7948686,7712155,20433394,10106000,34671590,80871825,14920141,21800072,14705805,14776850,4361412,70564280,2017,7
"136",21278625,2385295,14645439,10633090,31878770,80821219,14795376,16993112,11977212,7234912,17788027,68788639,2017,8
"137",22710632,11316345,7593965,15861068,22836833,80318843,19975799,14930437,27237850,7693071,6607630,76444787,2017,9
"138",20365000,6649958,7172234,13281931,32749192,80218315,7351727,15826140,11368168,9465615,5035764,49047414,2017,10
"139",14476471,11010522,18838336,12917262,22196744,79439335,10484357,5229052,13278110,23735041,16603309,69329869,2017,11
"140",33058282,3310080,9776316,9519411,22688764,78352853,21338272,20091185,11883805,11301524,5758889,70373675,2017,12
"141",26742000,5270289,16212624,5393387,23346656,76964956,8609329,11289373,5332555,12619611,15031988,52882856,2017,13
"142",1782314,7879602,26062634,16565097,23737956,76027603,4846639,17309055,13571954,3098994,10844663,49671305,2017,14
"143",16798413,7569296,24430688,9413806,17262341,75474544,12361126,14384255,17613896,10969118,22900422,78228817,2017,15
"144",19155000,5059879,20577484,8986982,21498674,75278019,17068671,23167189,5864393,6553828,9329846,61983927,2017,16
"145",10238211,11190118,6496909,11467859,35796366,75189463,10325927,13718331,7077973,7686153,5801497,44609881,2017,17
"146",22129791,6704574,15603598,10039875,20295961,74773799,14868181,21252770,3079205,7567614,4398800,51166570,2017,18
"147",17047200,5553764,18671297,5529031,22993789,69795081,15087353,14892449,12040537,11021745,17917711,70959795,2017,19
"148",21444105,6846041,14572454,4806305,21971246,69640151,13231093,26432590,11922152,3870386,27976841,83433062,2017,20
"149",10071983,13724506,13512773,7480525,23902263,68692050,36897369,8251178,13216415,15958866,13849553,88173381,2017,21
"150",3855907,9441681,22653336,10632622,20421501,67005047,17826431,14975844,9833223,10598898,21425963,74660359,2017,22
"151",22523284,6109029,10830686,7988864,19431712,66883575,13847877,15647606,10635653,11466277,21360634,72958047,2017,23
"152",11738985,8969129,18804531,3178912,23495847,66187404,30220786,9762983,8819460,8500031,17764740,75068000,2017,24
"153",21205288,4243728,5474701,7192941,25611612,63728270,16972578,35949428,6576004,14053421,6828257,80379688,2017,25
"154",3920973,6090264,25054318,4832368,23704519,63602442,18109284,23398406,9388589,8775903,24273641,83945823,2017,26
"155",7755133,6953354,25219237,3237501,20306285,63471510,19055848,15841769,17897035,5194177,22147687,80136516,2017,27
"156",15443870,5565665,8724467,12553573,21118436,63406011,9895825,19887433,18261753,20890487,23142234,92077732,2017,28
"157",10351646,8746428,19514493,7486458,17127063,63226088,20991161,23008834,9206570,13657831,15276846,82141242,2017,29
"158",8334184,10310192,8058956,2443262,29743163,58889757,30004586,5244382,5963101,6921694,16360022,64493785,2017,30
"159",2209957,4470494,5198547,3254760,41615803,56749561,5528898,9198852,21613135,3882857,7163759,47387501,2017,31
"160",1280189,2825514,13826473,3831656,25655347,47419179,8811687,17957489,8945957,9535769,6441770,51692672,2017,32
"161",38197259,8311842,18448916,3643398,33769652,102371067,10033146,16528345,8852841,6310620,18947503,60672455,2018,1
"162",25915200,7694424,18652510,11533431,36376204,100171769,11861506,2352299,10206380,11068824,11492532,46981541,2018,2
"163",22329200,7325063,24432270,2433131,40132972,96652636,6021602,11943939,8581239,9445802,26512595,62505177,2018,3
"164",22071928,1581868,26709607,10835666,32952576,94151645,19391088,23692894,4603006,2949361,10277116,60913465,2018,4
"165",22370588,6464791,11550945,16639653,35598047,92624024,11918322,17481245,6801489,5638443,21140054,62979553,2018,5
"166",24442360,5651728,19436865,7333699,34889282,91753934,2692766,13837156,21595019,5640141,18933305,62698387,2018,6
"167",26852600,7093841,12859196,7775068,35725330,90306035,7215630,20379299,14765854,7798629,8475586,58634998,2018,7
"168",23129200,4755413,25433190,7068484,27984393,88370680,14590006,22744570,6339835,10693090,17921985,72289486,2018,8
"169",25722676,2083712,20549797,13375573,25098865,86830623,5200125,18724742,3849218,6461829,5307934,39543848,2018,9
"170",26462000,8510220,15333845,9592122,26668316,86566503,18526098,18610741,18490720,15731056,22554099,93912714,2018,10
"171",12616903,3981361,34124743,10224401,25173502,86120910,30935514,21624467,14813639,6026118,15212917,88612655,2018,11
"172",21505365,5143228,16761079,7215415,35461396,86086483,19610353,20521371,7463300,16905015,5420767,69920806,2018,12
"173",23044200,7894058,15575488,16740476,20349864,83604086,8841997,12784037,12418619,22783881,15107401,71935935,2018,13
"174",22245471,6826065,12594544,9312292,32444025,83422397,25938492,15594755,18109544,8525314,10046763,78214868,2018,14
"175",10598281,2865819,26134139,16862132,25838059,82298430,16269909,26108093,12062109,4184476,18514959,77139546,2018,15
"176",17198153,6168245,22333466,9109741,26761854,81571459,17980043,21586114,18408108,6721891,22735864,87432020,2018,16
"177",24607847,1545560,13094252,5891394,35090781,80229834,18570996,7627086,15162163,7577505,18261233,67198983,2018,17
"178",15760757,8070717,13044099,3861826,36847212,77584611,16205890,5967157,11918348,10941303,27956260,72988958,2018,18
"179",27560000,7708425,10261176,4771517,26454707,76755825,6088251,19866349,13152062,13868343,12942767,65917772,2018,19
"180",24620964,4655724,20229810,3273982,22883379,75663859,5451644,5314490,26759580,26285750,7339007,71150471,2018,20
"181",10507195,4122610,25766603,4425226,30559407,75381041,5156706,38276611,14286351,13320269,3678898,74718835,2018,21
"182",10786333,12425774,17287457,4822038,28024882,73346484,49441021,1915141,11985485,11226426,27090280,101658353,2018,22
"183",1816903,7705768,17811897,2372304,43159686,72866558,5600665,30183328,18325353,4718347,5642991,64470684,2018,23
"184",6462373,3839568,13410657,12846159,35054355,71613112,13806414,30874001,6439413,20988021,5449388,77557237,2018,24
"185",23411925,11329128,12265128,7070209,16351639,70428029,6466608,23401317,7366336,5267371,13155011,55656643,2018,25
"186",27572118,3363334,12886087,4763673,21740115,70325327,10287179,11748483,10994045,16441962,26734432,76206101,2018,26
"187",9704446,6578378,8480482,11782366,33732729,70278401,26799400,19778901,12351575,11696707,20975177,91601760,2018,27
"188",15706000,1963621,14510892,2980830,27685340,62846683,19610747,22060696,13626497,8651558,23101585,87051083,2018,28
"189",8767592,9038320,14151679,2758153,27763882,62479626,39110096,5771005,10912796,13578223,20726753,90098873,2018,29
"190",4498746,8781571,22937792,3958681,21831728,62008518,19458959,20876470,10503200,11881679,32029767,94750075,2018,30
"191",5229993,6642019,21383544,8338914,16580007,58174477,6574896,22609536,12827408,8859951,16131635,67003426,2018,31
"192",4972932,12700103,3135006,10226000,13535618,44569659,13874163,18752548,8735891,12472941,7366816,61202359,2018,32
"193",30060000,2275911,16313123,16508239,45779795,110937068,8776062,18915217,4713346,8930462,13575522,54910609,2019,1
"194",23770750,5056256,21774081,11313773,42981228,104896088,21184145,18583642,17521770,5355326,6147003,68791886,2019,2
"195",27064655,6477550,23608026,7014216,37523591,101688038,6815527,32558522,11889408,7265608,12377117,70906182,2019,3
"196",29974202,8218621,9962196,17664279,32197919,98017217,11134561,18408787,3849469,7558867,22689383,63641067,2019,4
"197",17389080,7753530,28740271,10882654,32697458,97462993,18381875,13617308,4597140,7071863,23542739,67210925,2019,5
"198",25688481,8002165,14399349,5767514,40914105,94771614,5970975,10718493,8512658,19976408,9652415,54830949,2019,6
"199",11826075,3404034,35727967,6562380,36723539,94243995,11397361,24112662,14396593,15255977,21268697,86431290,2019,7
"200",21532358,14578972,15938972,4258221,37558398,93866921,7219127,39706057,15326818,10736568,14706919,87695489,2019,8
"201",26595000,3756693,13051443,6502176,42560951,92466263,10807620,14664025,20311789,4190537,16638197,66612168,2019,9
"202",2903516,7258235,23195205,6115957,52928659,92401572,16270733,23592008,14935984,5626954,11759970,72185649,2019,10
"203",23283000,7319205,16140089,8786988,34418326,89947608,25607015,8743596,10915774,8433793,30531666,84231844,2019,11
"204",11793235,2907359,31309352,14444000,29040221,89494167,2636098,35030070,4862403,9200559,21669013,73398143,2019,12
"205",28405163,8989981,16166352,8759798,26599108,88920402,7672043,11674925,14231925,8300429,5000958,46880280,2019,13
"206",29905000,4409766,22442158,6058384,24116130,86931438,15106796,23691333,12871959,15018703,27075664,93764455,2019,14
"207",11765577,12126193,26412655,4228642,31811467,86344534,30585660,17851822,6129397,9800904,11806937,76174720,2019,15
"208",31930059,2307429,17465459,6730065,27129944,85562956,15087044,9609031,15306901,5017157,23637112,68657245,2019,16
"209",9288808,6758058,25947032,12691900,30594087,85279885,7958341,13963072,11996608,14285030,9297683,57500734,2019,17
"210",18063000,9484109,15332230,5258881,36609416,84747636,17244922,10698868,21102931,10218404,17012133,76277258,2019,18
"211",26996766,5035413,12335319,6730075,33430896,84528469,5120514,21581217,27139216,10653670,4300635,68795252,2019,19
"212",14278779,5468274,19997045,7822805,36444965,84011868,17465235,11566811,7692784,20577441,9679240,66981511,2019,20
"213",22535204,12229419,20229111,2677268,23741152,81412154,6821358,10952860,17073342,27918225,18863654,81629439,2019,21
"214",9491711,11432801,19374147,3093662,35809241,79201562,19018512,5465480,25047180,11243424,22098745,82873341,2019,22
"215",27991392,1766913,4570576,8105668,36091768,78526317,31563825,14409336,13056501,5534972,18112322,82676956,2019,23
"216",7833793,12744125,27327533,3376502,26680848,77962801,25498793,17794602,9961506,10155128,20683883,84093912,2019,24
"217",14055437,1792775,28561458,12492121,19864821,76766612,18306693,19067986,16116704,5683006,30304445,89478834,2019,25
"218",8296599,12140266,16674681,3588603,34014338,74714487,10667138,21964198,7709824,4786932,17466133,62594225,2019,26
"219",13149963,9322496,13956013,5508925,32106212,74043609,27738114,7443609,12613248,6361198,24220950,78377119,2019,27
"220",24395545,6283177,9197102,9028498,22616326,71520648,30399334,18490862,22276998,8586514,7357669,87111377,2019,28
"221",6713826,4562191,18785529,10198933,31194376,71454855,21159179,26135699,11160531,12774835,7549959,78780203,2019,29
"222",4187820,4647747,12405040,6811187,24600941,52652735,21429512,5276260,5177136,23587904,39039526,94510338,2019,30
"223",6936162,4939853,4509420,7329076,26251247,49965758,19079701,32887968,7801084,11185503,19461415,90415671,2019,31
"224",7119898,1989719,21269506,2790180,10059484,43228787,7091738,4500733,5242573,30648047,17524815,65007906,2019,32
"225",47105566,5629641,19610611,10806164,50913166,134065148,29317501,19644725,7983967,7437136,13393415,77776744,2020,1
"226",31625000,8300028,18214691,15657398,53138925,126936042,13236548,18222524,16390125,20138076,8384032,76371305,2020,2
"227",21452022,3762174,29943350,15435113,39993612,110586271,26475772,13051595,5348034,9032645,8624266,62532312,2020,3
"228",27556500,6969905,14176858,19792747,40217623,108713633,20612811,29946760,19483225,4118737,6785738,80947271,2020,4
"229",23182000,8686298,21162541,6544772,47116265,106691876,14054420,15690717,7625164,13768642,21504501,72643444,2020,5
"230",24645540,7058628,20521932,5301804,47239400,104767304,15375862,35768583,8225930,14695548,9592282,83658205,2020,6
"231",11937673,6893053,33178607,8176049,40583203,100768585,17914080,26132262,6861412,8729755,19017592,78655101,2020,7
"232",35728728,12355915,18148958,6554264,27902811,100690676,13809747,13774001,18954155,5243874,9660756,61442533,2020,8
"233",7250503,5099201,36777928,12578400,36669047,98375079,18388976,27380548,21534268,23192615,7893856,98390263,2020,9
"234",14334715,16353897,23107507,6027564,37592815,97416498,23808729,15729420,17873795,6583032,16539902,80534878,2020,10
"235",8756449,5465493,34088188,10368680,38644130,97322940,21223086,31426602,16719363,16659474,20736847,106765372,2020,11
"236",32063900,9951728,16222301,12094038,26646044,96978011,11979291,11274881,33886063,12326346,9927702,79394283,2020,12
