"","qb","rb","wr","te","ol","offense","idl","edge","lb","s","cb","defense","control","total","year","id"
"100",15259305,5014925,17034672,12753868,26847155,76909925,5119235,14912527,13450124,12755434,4775449,51012769,112663389,127922694,2016,4
"101",17180000,7117376,18017691,8274768,25663138,76252973,17468654,14930795,5378711,7089050,18462884,63330094,122403067,139583067,2016,5
"102",25631100,1852741,21945916,5486900,21046268,75962925,3803031,20886504,10513747,4903067,6580038,46686387,97018212,122649312,2016,6
"103",12430538,13666191,8596564,7804564,32879606,75377463,11885987,16151461,11877574,12925603,16485260,69325885,132272810,144703348,2016,7
"104",20140353,2164522,23144751,4465009,25002276,74916911,10499728,23295184,11928466,3785524,9703965,59212867,113989425,134129778,2016,8
"105",21450000,10958863,8550593,8019942,25130242,74109640,9915073,5907171,18305233,5817094,3505394,43449965,96109605,117559605,2016,9
"106",19980000,5551333,14669690,11144550,20978970,72324543,11141107,17579573,6160859,7650838,13866511,56398888,108743431,128723431,2016,10
"107",14195413,7582248,17965568,4895878,26963355,71602462,15774614,15267615,15238247,10932963,20040214,77253653,134660702,148856115,2016,11
"108",8192029,9960806,20084145,4575686,28332177,71144843,18489165,14390783,15028993,5670300,21537490,75116731,138069545,146261574,2016,12
"109",20967647,5171763,19073522,5942819,19298535,70454286,23704115,12115452,6216592,11210539,16623998,69870696,119357335,140324982,2016,13
"110",19910320,4891731,20545094,3544204,20810535,69701884,14048475,32922762,1857299,10976780,16459880,76265196,126056760,145967080,2016,14
"111",4623009,2818849,19361975,5870639,36972041,69646513,10767380,19443717,7072959,12697085,20847900,70829041,135852545,140475554,2016,15
"112",23338824,3971695,17699492,6514242,17174595,68698848,8782820,8535944,13539421,11189104,8071148,50118437,95478461,118817285,2016,16
"113",25595300,9665597,15930551,3014714,13382316,67588478,9138463,24753166,12393270,3598913,21773449,71657261,113650439,139245739,2016,17
"114",10864196,5551588,14724668,11943324,23735090,66818866,33501913,7011441,11297021,7647569,16930497,76388441,132343111,143207307,2016,18
"115",24056900,2492212,13619295,8561035,18007403,66736845,7240013,17109523,4802149,18916487,13055152,61123324,103803269,127860169,2016,19
"116",10107898,5337110,20760335,2530923,27844419,66580685,21908891,2652225,10859069,7858962,24531901,67811048,124283835,134391733,2016,20
"117",9960643,10317028,4931355,6394996,33687976,65291998,9762192,19854836,12105117,11531668,7119979,60373792,115705147,125665790,2016,21
"118",20232200,8036819,16078663,4923789,14976072,64247543,17326136,21124929,7381104,15661151,5252667,66745987,110761330,130993530,2016,22
"119",7534058,7603960,14852328,10992080,21398613,62381039,15355883,17193846,8042363,10382798,13084964,64059854,118906835,126440893,2016,23
"120",14412646,7911734,6448981,2062362,31103538,61939261,22938450,14197538,14400101,5327548,19939515,76803152,124329767,138742413,2016,24
"121",13281182,1974686,6367688,11317299,28834646,61775501,17479805,24908290,8873417,11884805,12949485,76095802,124590121,137871303,2016,25
"122",23694507,3028926,11876072,5615042,16923639,61138186,9996826,13678890,16215848,10807904,9075198,59774666,97218345,120912852,2016,26
"123",10286322,10305929,12971463,7994746,19315114,60873574,22682421,11436205,4326517,14367753,15208647,68021543,118608795,128895117,2016,27
